Name,University,Difficulty Level,Link,About,Course Description,Category
Foundations of Data Structures,IITBombay,Intermediate,https://www.edx.org/course/foundations-of-data-structures,Learn the best way to structure and represent data.,"Data structures provide a means to manage large amounts of data for use in databases and internet indexing services. Efficient data structures are key for designing efficient algorithms and obtaining maintainable software design.In this Computer Science course, you will start by learning basic data types, such as numbers, and gradually build a conceptual framework for organizing and managing efficient structures.Topics covered:Preliminary understanding of implementing sequence structures such as stacks, queues, and linked lists, will also be covered.This course is part of the Fundamentals of Computer Science XSeries Program: Computer Science",Computer Science
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",The International Monetary Fund,Intermediate,https://www.edx.org/course/financial-programming-and-policies-part-1-macroeco,"A course on the macroeconomic accounts, their interrelationships, and the analysis of economic developments.","How healthy is the state of the economy? How can economic policy help support or restore health to the economy? These questions are at the heart of financial programming. In our FPP courses you will learn the building blocks of how to answer to these questions.Financial programming is a framework to analyze the current state of the economy, forecast where the economy is headed, and identify economic policies that can change the course of the economy.In Part 1 of the FPP sequence, presented by IMF's Institute for Capacity Development, you will learn the basic skills required to conduct financial programming. The course presents the principal features of the four main sectors that comprise the macroeconomy (real, fiscal, external, and monetary); demonstrates how to read, interpret, and analyze the accounts for these sectors; and illustrates how these sectors are interlinked. (Part 2 of the FPP sequence will cover preparation of a baseline forecast and design of an adjustment program.)During the course, economists from the IMF will lead you through the accounts and analysis of an economy. Besides engaging with lecture videos, you will answer questions on the concepts explained, solve short numerical exercises, discuss with fellow participants economic developments in your country, and work with data for a hypothetical country. The reading material will be provided to you.Whether you are a civil servant working on economic issues for your country, a professional working with economic data, or simply interested in better understanding the developments of an economy, this course will provide hands-on training on macroeconomic analysis. We hope that you will join us in this exciting journey!Financial Programming and Policies, Part 1 is offered by the IMF with financial support from the Government of Japan. Economics & Finance",Computer Science
IoT System Design: Software and Hardware Integration,Waseda University,Intermediate,https://www.edx.org/course/iot-system-design-software-and-hardware-integratio,Start developing your own Internet of Things (IoT) systemwith this exploration ofthe interaction between software and hardware.,"This course is designed toteach you how systems are developed using IoT technology. Many engineers and developers tend to focus ona single discipline - either software or hardware. However, in today’s connectedage it's critical to have a comprehensive understanding of both disciplines and how they are intertwined. In this practical course,you'll gain a holistic understanding of system development from both software and hardware perspectives. A truly hands-on experience, you will develop your own embedded system. In doing so, you'll learn as much from your failures as your successes as you go along. Note: In this course, we will use DE10-Nano Development Kit by Terasic Inc. Computer Science",Computer Science
English for Doing Business in Asia – Writing,The Hong Kong University of Science and Technology,Beginner,https://www.edx.org/course/english-for-doing-business-in-asia-writing,Introducing strategies for developing your written English communication skills in the context of doing business in Asia.,"The use of English for doing business in multinational settings is a fact of life for many business people. And, as Asian economies expand and become more involved in the global economy, having the ability to write clear and concise English is important when exchanging information. This course has two goals. The first is to introduce non-native speakers of English to methods for developing written English language and communication skills for doing business in Asia. The second is to examine the impact of cross-cultural interactions and globalization on English communications. By exploring and participating in a business simulation set in Asia, you will develop the principal skills for effective communication in English when conducting business in China and other Asian countries.This course is part of a series developed by the same instructors. Enroll in EBA101x English for Doing Business in Asia – Speaking to continue developing your English language communication skills. Learn about business presentations, audience, format, pronunciation, rhythm and more. Humanities",Business
AI Chatbots without Programming,IBM,Beginner,https://www.edx.org/course/AI-chatbots-without-programming,"Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.","Special Offer : This course includes a great offer from IBM: One year of Watson Assistant services to power 10 chatbots at no charge. The perfect way to kickstart your chatbot building business!Chatbots are one of the most exciting and in-demand topics in tech. Businesses around the world are increasingly showing an interest in their potential for cost-saving and improving customer service availability.In this course, you'll learn how to build chatbots powered by Watson and how to approach making money by selling chatbots to clients. We'll coverways to sell chatbots to prospective clients online and offline. We'll explore how to plan and build chatbots using a visual tool provided by IBM. We'll offer methods for testing, analyzing, and improving your chatbots. And we'll teach you how to deploy your chatbots to websites via a handy WordPress plugin.Leveraging the AI power of Watson Assistant, you will be able toaccomplish all this without the need to write any code! Computer Science",Computer Science
Just Money: Banking as if Society Mattered,Massachusetts Institute of Technology,Beginner,https://www.edx.org/course/just-money-banking-as-if-society-mattered,Learn how banks can use capital as a tool to promote social and environmental wellbeing.,"Do you know what your bank does with your money? What is the role of a bank in producing societal well-being?This course looks into banks that operate differently, namely, “just banks"" that use capital and finance as a tool to address social and ecological challenges. This course is for anyone who wants to understand the unique role banks play as intermediaries in our economy and how they can leverage that position to produce positive social, environmental, and economic change.The instructors of this course have worked for over 15 years with just banks from around the world, as well as in the fields of community development, economic democracy, and social change.No previous knowledge of finance or banking is needed to take this course. Business & Management",Business
Computing in Python IV: Objects & Algorithms,The Georgia Institute of Technology,Beginner,https://www.edx.org/course/computing-in-python-iv-objects-algorithms,"Learn about recursion, search and sort algorithms, and object-oriented programming in Python.","Complete your Beginner knowledge of computer science with this final course on objects and algorithms. Now that you've learned about complex control structures and data structures, learn to develop programs that more intuitively leverage your natural understanding of problems through object-oriented programming. Then, learn to analyze the complexity and efficiency of these programs through algorithms. In addition, certify your broader knowledge of Introduction to Computing with a comprehensive exam. By the end of this course, you'll be able to write programs in Python that leverage your more natural understanding of data structures by creating objects to represent the structures you work with most often. For example, if you were creating a class roster application, you'll learn how to create an object representing a student's name, ID number, and attendance record. Then, you'll be able to create applications that leverage sorting and searching algorithms to sort that roster alphabetically, search for a particular student, and evaluate the efficiency of both those operations. Structurally, the course is comprised of several parts. Instruction is delivered via a series of short (2-3 minute) videos. In between those videos, you'll complete both multiple choice questions and coding problems to demonstrate your knowledge of the material that was just covered. These exercises count for 20% of your grade. Then, after each major chapter, you'll complete a problem set of collected, more challenging problems. These count for 40% of your grade. Finally, you'll complete a final course exam, which counts for the remaining 40% of your grade. Computer Science",Computer Science
Software Engineering: Introduction,University of British Columbia,Advanced,https://www.edx.org/course/software-engineering-introduction,"Learn how to apply engineering principles, such as Agile, to build a full-stack software system.","This course, part of the Software Development MicroMasters Program, introduces how teams design, build, and test multi-version software systems.You will learn software engineering principles that are applicable to the breadth of large-scale software systems. The course explores topics such as agile development, REST and Async programming, software specification, design, refactoring, information security, and more.By the end of this course, learners will work in teams, applying an agile software development process to specify, design, and test multiple versions of complex software systems.Learners who enroll in the Verified track will receive staff grading and increased interaction with the instructor and staff. Computer Science",Computer Science
Computer Hardware and Operating Systems,New York University,Beginner,https://www.edx.org/course/computer-hardware-and-operating-systems,This is a self-paced course from NYU that provides an Introduction to Computer Hardware and Operating Systems,This is a self-paced course that provides an Introduction to Computer Hardware and Operating SystemsThis course will cover topics including:By the end of this course students should be able to:  Computer Science,Computer Science
Marketing Management,"The University of Maryland, College Park-University System of Maryland",Advanced,https://www.edx.org/course/marketing-management-2,"Learn key marketing strategies and tactics to help your company develop products that match customers' needs, create awareness and demand for those products, and drive sales.","Mark Cuban, owner of the Dallas Mavericks, puts it bluntly: “No sales. No company.” Every organization needs effective marketing to match its products, services and experiences to customers, and maintain and grow its revenue. In this course you will learn the keys to successful marketing, from using traditional and digital media channels to build brand awareness, to using consumer and behavioral research in order to better match your product to your customers’ wants and needs. In this course, you'll learn to: By the end of this class, you will understand how to assess the competitive playing field, understand your competitor’s brand position, and map your own organization’s position, strengths, and weaknesses, to create or capture competitive advantages. Business & Management",Business
You Can Innovate: User  Innovation & Entrepreneurship,Massachusetts Institute of Technology,Beginner,https://www.edx.org/course/you-can-innovate-user-innovation-entrepreneurship,"Identify a problem, develop a solution, and bootstrap your entrepreneurial venture.","We'll let you in on a secret. Innovation happens everywhere. More often than not, it is about ordinary people solving real problems. Imagine, this could be you. This course will teach you to look at the world through the lens of problem discovery and problem solving. You will explore problems that you see in your life and in the world and evaluate their potential for entrepreneurial innovation. You will iterate toward solutions that are just right. As you do that, you will become a user innovator.Examples of user innovation and its entrepreneurial potential are infinite. A surfer created the GoPro to take ""selfies"" while surfing. A student came up with Dropbox after losing the flash drive. Two entrepreneurs created a tool for themselves to track software bugs, giving rise to Atlassian.Taught by Eric von Hippel, the founding scholar of user innovation, and Erdin Beshimov, the founder of MIT Bootcamps, this course will guide you through a step-by-step process for ideating a user innovation and shaping its entrepreneurial possibilities. Importantly, through immersive case studies, this course will introduce you to effective strategies of entrepreneurial bootstrapping, so that you can succeed even when you do not have many resources. We invite to the course, anyone with dreams of making a positive impact on society. The course should be timely and specifically beneficial for:You can innovate!You Can Innovate is a course from MIT Bootcamps and as such prepares you for participation in the program. The Bootcamp is a highly selective, intensive, global MIT training program for innovators. You will learn from MIT faculty and you will be intensively coached by experienced MIT-trained entrepreneurs. In the process, you will be challenged to generate an impactful entrepreneurial innovation in one week. Learn about and apply to one of the upcoming bootcamps at https://bootcamp.mit.edu. Business & Management",Business
Analytics in Python,Columbia University,Intermediate,https://www.edx.org/course/analytics-in-python,Learn the fundamental of programming in Python and develop the ability to analyze data and make data-driven decisions.,"Data is the lifeblood of an organization. Competency in programming is an essential skill for successfully extracting information and knowledge from data.The goal of this course is to introduce learners to the basics of programming in Python and to give a working knowledge of how to use programs to deal with data.In this course, we will first cover the basics of programming and then focus on using Python on the entire data management process from data acquisition to analysis of data big data and small data.This is an intensive hands-on course that will equip and reward learners with proficiency in data management skills. Business & Management",Data Analytics
HTML5 Apps and Games,The World Wide Web Consortium (W3C),Advanced,https://www.edx.org/course/html5-apps-and-games,"Today, developers are increasingly moving from native to HTML5-based apps. Increase your ability to design and deliver innovative services on the Web!","Want to learn advanced HTML5 tips and techniques? This is the course for you! Find out more about the powerful Web features that will help you create great content and apps.This course is a natural follow up of HTML5 Coding Essentials and Good Practices. In this course, we continue the exploration of HTML5-based APIs, but also introduce some advanced features related to HTML5, such as Web components, advanced multimedia, audio for music and games, etc.Like in the first course, you will learn by doing, study the interactive examples and have fun with proposed development projects. One of them will be to create an HTML5 game, so jump in and learn lots! Computer Science",Computer Science
MATLAB and Octave for Beginners,École polytechnique fédérale de Lausanne,Beginner,https://www.edx.org/course/matlab-and-octave-for-beginners,"Learn MATLAB and Octave and start experimenting with matrix manipulations, data visualizations, functions and mathematical computations.","Take an exciting crash course in MATLAB and Octave programming. Both languages allow users to experiment with advanced mathematical functions and produce exciting matrix visualizations.In this hands-on, self-paced Beginner course, students will learn step by step how to use these mathematical tools to write functions, calculate vectors and matrices and plot graphical representations of results. Explore ways to organize your work using scripts and functions to improve productivity. Computer Science",Computer Science
Linux Basics: The Command Line Interface,Dartmouth_IMTx-Dartmouth College-IMT,Beginner,https://www.edx.org/course/linux-basics-the-command-line-interface,Learn the Linux Command Line interface and become a skilled user of this powerful operating system.,"This course will introduce you to Linux, a powerful operating system used by most professional developers! Why add Linux to your C programming skills? Most people use Linux without knowing it! Whether you use a smartphone, search the web, or use an ATM, each time Linux is involved somewhere in the background. It is the most used operating system for embedded devices and high-performance servers. It is also the most common operating system used by developers to create software applications. In this course, you will learn the history of Linux and how its open source community was able to create today’s most advanced operating system. You will navigate the file system, use fundamental Linux commands and master the Linux command line interface. These are essential skills for every developer. You will also be able to produce software written in C using the industry-standard tools on Linux. Within moments you will be coding hands-on in a new browser tool developed for this course, receiving instant feedback on your code. No need to install anything! We are excited to introduce you to Linux and guide you along your path to becoming a skilled user of this powerful operating system! At the end of this short course, you will reach the sixth milestone of the C Programming with Linux” Professional Certificate program, unlocking the door to a career in computer engineering. This course has received financial support from the Patrick & Lina Drahi Foundation. Computer Science",Computer Science
Entrepreneurial Operations: Launching a Startup,Babson College,Intermediate,https://www.edx.org/course/entrepreneurial-operations-launching-a-startup,Optimize your business for successby learning the fundamentals of entrepreneurial operations.,"This startup operations course will examine the real-world operational challenges and execution risks associated with getting a new venture started. We will consider start-up ventures in a variety of industries. The course will provide you with a set of steps, frameworks, and tools that can be used to understand the important considerations for building a startup operation from scratch. In each module, the students will be exposed to a different operations-related concept. Lecture notes, readings, and case studies will explore the key operations topics that are important for start-ups. Topics include:  Business & Management",Business
Maths Essentials,Imperial College Business School-Imperial College London,Beginner,https://www.edx.org/course/maths-essentials,"Discover and acquire the fundamental maths skills that you will need to use while studying an MBA program, from algebra to differentiation and geometric series.","Planning to study for an MBA but unsure of your basic maths skills? All MBA programs, and in business generally require some maths, particularly on quantitative subjects such as Accounting, Economics and Finance.In this mathematics course, you will learn the fundamental business math skills needed to succeed in your MBA study and in the field of business. These math skills will also give you an edge in the workplace enabling you to apply greater analytical skill to your decision making.You will learn how to evaluate and manipulate the types of formulae that appear in an accounting syllabus, how to perform the calculus required to solve optimization problems in economics and how to apply the concept of geometric series to solving finance-related problems such as calculating compound interest payments.This course assumes no prior knowledge of business maths, concepts are explained clearly and regular activities give you the opportunity to practice your skills and improve your confidence. Business & Management",Business
"Marketing Analytics: Products, Distribution and Sales","University of California, Berkeley",Intermediate,https://www.edx.org/course/marketing-analytics-products-distribution-and-sale,This course is part of a MicroMasters® Program,"In this marketing course, you will learn how to apply advanced concepts such as conjoint analysis and decision tree methodologies to product decisions, as well as learn the best ways to distribute and sell your offerings to consumers.You will also learn how to apply conjoint analysis to identify the product features that your consumers want most.This course is taught by Stephan Sorger who has held leadership roles in marketing and product development at companies such as Oracle, 3Com and NASA. He has also taught for over a decade at UC Berkeley Extension and is the author of two widely adopted marketing textbooks.This course will equip you with the knowledge and skills necessary to immediately see practical benefits in the workplace. Analytics-based marketing is increasingly important in determining a company’s spending and ROI. Many entry-level positions in marketing now require some basic level of knowledge in this rapidly growing field. Computer Science",Marketing
Marketing Innovative Products and Services,"The University of Maryland, College Park-University System of Maryland",Beginner,https://www.edx.org/course/marketing-innovative-products-and-services,Learn essential marketing concepts and practical commercialization strategies to bring your new venture to market,"Marketing innovative products and services occurs in an ever-changing environment, and requires rapid decision making with incomplete information. These innovations are introduced at increasingly frequent intervals, and there are high mortality rates for products and services, and the businesses themselves.Our course provides a practical, how-to guide for navigating these marketing challenges to bring innovative new products and services to market. With learning modules on product strategy, go-to-market strategies, and growth strategies, you will build your skills in understanding and applying the latest marketing strategies and tactics. We’ll explore how to develop an informed marketing plan that aligns with customer needs based on real market research.Learn the latest strategies for customer discovery, interviews and focus groups, product design, product development, content marketing, social media marketing, and marketing campaign management. The course will provide a balance between conceptual discussions based on readings of concepts and practices, and applied, hands-on analysis with real projects. Business & Management",Marketing
Introduction to Java Programming – Part 1,The Hong Kong University of Science and Technology,Beginner,https://www.edx.org/course/introduction-to-java-programming-part-1,Learn the fundamental elements of Java programming and data abstraction.,"Do you want to become a better problem solver?This Java course will provide you with a strong understanding of basic Java programming elements and data abstraction using problem representation and the object-oriented framework. As the saying goes, “A picture is worth a thousand words.” This course will use sample objects such as photos or images to illustrate some important concepts to enhance understanding and retention. You will learn to write procedural programs using variables, arrays, control statements, loops, recursion, data abstraction and objects in an integrated development environment.This course is comprised of two 5-week parts.Part 1 introduces programming fundamentals:Part 2 covers the following topics: Computer Science",Computer Science
Monetary Policy Analysis and Forecasting,The International Monetary Fund,Advanced,https://www.edx.org/course/monetary-policy-analysis-and-forecasting,"Learn about the macroeconomic motivation of the quarterly projection model (QPM), its key properties, model calibration, data filtration, and how to implement the QPM in MATLAB software in order to learn and understand practical model building and model operation as it is usually done in central banks.","This online course, presented by the IMF's Institute for Capacity Development, introduces participants to quarterly projection macroeconomic models developed as a core of FPAS (Forecasting and Policy Analysis Systems) and how to implement the key canonical quarterly projection model (QPM) equations in a macroeconomic modeling software. This course uses detailed country data highlighting an inflation targeting central bank, for hands-on filtration and calibration exercises.The course covers two main technical aspects:In partnership with MathWorks, enrolled students have access to MATLAB for the duration of the course.Monetary Policy Analysis and Forecasting is offered by the IMF with financial support from the Government of Japan.Upon completion of this course, participants should be able to: Economics & Finance",Business
Identifying Entrepreneurial Opportunities,"The University of Maryland, College Park-University System of Maryland",Beginner,https://www.edx.org/course/identifying-entrepreneurial-opportunities,Learn today’s newest skills and tools for identifying and acting on entrepreneurial opportunities for startup companies and corporate innovations,"This course explores how anyone can be a successful startup entrepreneur or corporate innovator by thoughtfully examining themselves and the business opportunity. By harnessing these insights and cultivating an entrepreneurial spirit, you can create and transform an entrepreneurial idea into a new startup company or corporate venture.Over 800,000 people have used The Opportunity Analysis Canvas that is the basis of this course. Designed by Dr. James V. Green, the lead faculty for this course, this unique model equips you to identify and analyze a new business opportunity that aligns with your startup entrepreneurship or corporate innovation interests.The Opportunity Analysis Canvas distills vast amounts of research in psychology, sociology, and business into a practical how-to guide for aspiring and active entrepreneurs and innovators. The course presents a whole new understanding of entrepreneurial mindset and action. The course is structured as a nine-step experience segmented into thinking entrepreneurially, seeing entrepreneurially, and acting entrepreneurially. Business & Management",Business
COVID-19 Training for Healthcare Workers,Stanford University,Beginner,https://www.edx.org/course/covid-19-care-a-lifesaving-program-for-healthcare-providers,"COVID-19 is rapidly spreading across the globe and all providers must be prepared to recognize, stabilize, and treat patients with novel coronavirus infection. This rapid-fire, self-paced course focuses on the critical information required to care for patients during the COVID-19 pandemic. Following completion of this short course physicians, nurses, and other healthcare professionals will have a unified, evidenced-based approach to saving the lives of patients with COVID-19.","Learning modules are broken into short (<10 minute) videos presented in straightforward language. This allows providers to learn at their own pace and time. Topics include symptoms and signs in patients with COVID-19, early stabilization of patients, prevention of the need for intubation, and ventilator management of patients. The best evidence and guidelines are summarized while accompanying handouts provide written learning points and links to online references. Additionally, simple infographics are available for providers to utilize within their care facilities to educate and promote optimal care across their entire institution.AccreditationThe Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.Credit DesignationThe Stanford University School of Medicine designates this enduring material for a maximum of 5 AMA PRA Category 1 Credits ™. Physicians should claim only the credit commensurate with the extent of their participation in the activity.If you would like to earn CME credit from Stanford University School of Medicine for participating in this course, please review the information here prior to beginning the activity. Medicine",Business
Deep Learning Fundamentals with Keras,IBM,Intermediate,https://www.edx.org/course/deep-learning-fundamentals-with-keras,"New to deep learning? Start with this course, that will not only introduce you to the field of deep learning but give you the opportunity to build your first deep learning model using thepopular Keras library.","Looking to kickstart a career in deep learning? Look no further. This course will introduce you to the field of deep learning and teach you the fundamentals. You will learn about some of the exciting applications of deep learning, the basics fo neural networks, different deep learning models, and how to build your first deep learning model using the easy yet powerful library Keras. This course will presentsimplified explanations to some oftoday's hottest topics in data science, including: The demand fordeep learning skills-- and the job salaries of deep learning practitioners -- arecontinuing to grow, as AI becomes more pervasive in our societies. This course will help you build the knowledge you need to future-proofyour career. Data Analysis & Statistics",Computer Science
Solid Waste Management,World Bank Group,Beginner,https://www.edx.org/course/solid-waste-management,"Solid waste is one of the most pressing issues of our time. World over, people are generating greater amounts of garbage without much thought. The phrase “out of sight, out of mind” holds true for many of us when it comes to waste issues. Once garbage leaves our homes and offices and factories, do we really consider what happens to it, who’s collecting it, or what impact it’s having on our environment and our health?","Solid waste management (SWM) is a crucial function of local governments around the world, and directly affects public health, the environment, and livelihoods. However, rapid urbanization and population growth place multiple pressures on solid waste management systems, particularly in cities in low- and middle-income countries. In particular, the urban poor are most affected by lack of access to basic SWM services, such as waste collection and disposal.Yet, the sector also provides numerous opportunities: Improving solid waste management provides a cleaner and healthier environment; improves livability for all city residents; and attracts new investment and tourism, which improve a city’s economic competitiveness, creating jobs, and new business opportunities. SWM also contributes to new sources of energy thus tackling climate change challenges. In these ways, SWM is directly relevant to the World Bank’s goals of ending extreme poverty and boosting shared prosperity.Historically, the highest expenditures of local governments is in the SWM sector but – particularly in low- and middle-income country cities – the bulk of expenses goes towards collection and transport instead of treatment and disposal. Another challenge is ensuring the financial sustainability of SWM projects and cost recovery once SWM infrastructure has been created. The world is generating increasing amounts of waste, with large amounts (primarily plastics) ending up in the oceans. However, there is also a paradigm shift from thinking about waste as something to be disposed – “out of sight out of mind” – to a resource that can be used for energy generation, reduce the use and costs associated with virgin resources, and improve our climate change efforts.Given this background, this e-learning course is designed to look at the SWM sector, with a focus on MSW, from several angles in order to simplify concepts and promote understanding of this sector. Environmental Studies",Business
Retail Fundamentals,Dartmouth College,Intermediate,https://www.edx.org/course/retail-fundamentals,This course is part of a Professional Certificate,"In this course, part of the Retail Management Professional Certificate program, you will learn the four key components of the retail business:You will learn about the different challenges that retailers face and have the opportunity to explore methods and techniques available to address these challenges. You will also have access to simulation tools to better internalize the concepts.The course will take a hands-on, problem driven approach that will help you understand and put into practice the concepts you learn. At the end of the course you, will be able to make better decisions at every step of the retail process.We have designed this course to suit a wide variety of participants, from retail owners and store managers, to undergrad business majors or specialists in retail. Business & Management",Business
"Money Markets, Foreign Exchange and Time Value of Money",NYIF,Beginner,https://www.edx.org/course/money-markets-foreign-exchange-and-time-value-of-m,"Get introduced to the money markets, foreign exchange and time-value of money.","This course begins with a look at the four core financial markets and the three main classes of derivatives. You will learn how to distinguish the global trends in volume for each of the plain vanilla financial products and show the macroeconomic reasons for those trends. This course will also review how bonds, equity, foreign exchange and money markets are traded along with the role that equity plays from both the issuer's and investor's perspective. We wrap up this course with a look at the different types of stock markets. This course is part 1 of the New York Institute of Finance's Capital Markets Professional Certificate. Economics & Finance",Business
Designing the User Experience,"The University of Maryland, College Park-University System of Maryland",Beginner,https://www.edx.org/course/designing-the-user-experience,"Translate product ideas into tangible assets by creating wireframes, 3D renderings, prototypes, and minimum viable products (MVPs) to test assumptions and validate customer interests","Designing the customer and user experience is essential to creating great products today. Gone is the old paradigm of “form follows function” model of design. The process must be iterative and follow the best product design and development processes. While designing a great user experience can be a lengthy and expensive process, there are approaches to doing it faster and smarter, without compromising results.This essential product management course explains key design thinking principles around personas, story mapping, and prototyping. Product managers need to know and appreciate product designer tools and processes. By combining these principles with good scrum processes, you’ll learn to create great products that don’t sacrifice design for functionality or feasibility.This course enables students to transition from ideas to prototyping and concept testing of their products and services. Students learn how best to effectively translate ideas into marketable offerings so that the best product and service ideas are harnessed and create real value for customers and the organization. Emphasis is placed on an integrated and interdisciplinary approach to engineering design, concurrent engineering, design for manufacturing, industrial design, and the business of new product development. Topics include design methods, modeling and simulation, material and manufacturing process selection, platform and modular design, mass customization, planning and scheduling. Business & Management",Design
Introduction to Bioconductor,Harvard University,Intermediate,https://www.edx.org/course/introduction-to-bioconductor-annotation-and-analys,"The structure, annotation, normalization, and interpretation of genome scale assays.","We begin with an introduction to the relevant biology, explaining what we measure and why. Then we focus on the two main measurement technologies: next generation sequencing and microarrays. We then move on to describing how raw data and experimental information are imported into R and how we use Bioconductor classes to organize these data, whether generated locally, or harvested from public repositories or institutional archives. Genomic features are generally identified using intervals in genomic coordinates, and highly efficient algorithms for computing with genomic intervals will be examined in detail. Statistical methods for testing gene-centric or pathway-centric hypotheses with genome-scale data are found in packages such as limma, some of these techniques will be illustrated in lectures and labs.Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the Beginner biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818.HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form. Data Analysis & Statistics",Data Analytics
Connected Strategy,The Wharton School of the University of Pennsylvania,Intermediate,https://www.edx.org/course/connected-strategy-2,"Technology has caused firms to fundamentally change their strategy to connect with their customers in new and different ways. In this course, weexplore the impact of connected strategies as well as business opportunities associated with those strategies.","In this course, you’ll learn how technology has enabled firms to fundamentally change how they connectwith their customers. Professors Christian Terwiesch and Nicolaj Siggelkow of the Wharton School havedesigned this course to help you explore the impact of connected strategies and business opportunitiesassociated with those strategies. Through study and analysis of both the innovation framework andvalue proposition, you’ll learn how Connected Customer Experience and the Connected Delivery Modelscan be utilized in a myriad of industry and business models. You’ll also explore different types ofconnected customers/producers and examples of connected strategy and evaluate existing technologiesthat can inform the design of connected relationships. By the end of this course, you’ll be able toidentify different types of connected strategies and opportunities in a variety of business models so youcan employ best practices and achieve success within your organization.Identify and define connected strategies, their potential and value proposition
Analyze customer experiences to understand the customer journey 
Leverage positive feedback loops with customers to create effective customization strategies
Identify connected relationships in your firm to improve your connected strategy
Create connection architecture and implement connected customer relationship strategies Business & Management",Business
Hybrid Vehicles,Chalmers University of Technology,Advanced,https://www.edx.org/course/hybrid-vehicles,"Learn to design hybrid powertrains which meet the needs of modern vehicles, by combining the strengths of both electric motors and combustion engines","Why are hybrid vehicles still more common than battery electric ones? Why are electric vehicles still more expensive than conventional or hybrid ones? In this course, you will get the answers to this and much more. While electric motors can improve vehicles regarding performance, energy consumption and emissions, they suffer from high cost and weight of batteries. Smart combinations of electric motors and combustion engines in a hybrid powertrain can combine these strengths with the advantages of combustion engines. This course is aimed at learners with a bachelor's degree or engineers in the automotive industry who need to develop their knowledge about hybridpowertrains. Inthis course, we willexamine different mechanical layouts of hybrid powertrains and how they influence the performance and complexity of the powertrain. Different sizing of powertrains in micro, mild, full hybrids, as well as plug-in hybrids, is also discussed and you'll learn how they can be modelled and analyzed for example by simulation of driving cycles. You will also learn about the Energy Management system and how this controls the hybrid powertrain modes and when to charge and discharge the battery. As a result of support from MathWorks, students will be granted access to MATLAB/Simulink for the duration of the course. Engineering",Business
Statistical Inference and Modeling for High-throughput Experiments,Harvard University,Intermediate,https://www.edx.org/course/statistical-inference-and-modeling-for-high-throug,A focus on the techniques commonly used to perform statistical inference on high throughput data.,"In this course you’ll learn various statistics topics including multiple testing problem, error rates, error rate controlling procedures, false discovery rates, q-values and exploratory data analysis. We then introduce statistical modeling and how it is applied to high-throughput data. In particular, we will discuss parametric distributions, including binomial, exponential, and gamma, and describe maximum likelihood estimation. We provide several examples of how these concepts are applied in next generation sequencing and microarray data. Finally, we will discuss hierarchical models and empirical bayes along with some examples of how these are used in practice. We provide R programming examples in a way that will help make the connection between concepts and implementation.Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the Beginner biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818. Data Analysis & Statistics",Data Analytics
